date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:23:37	201647/201647	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/assets/img/expo-newsweek.jpg	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/assets/img/expo-newsweek.jpg	(from http://getbootstrap.com/)
22:23:38	95957/95957	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/assets/js/vendor/jquery.min.js	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/assets/js/vendor/jquery.min.js	(from http://getbootstrap.com/)
22:23:39	36868/36868	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/dist/js/bootstrap.min.js	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/dist/js/bootstrap.min.js	(from http://getbootstrap.com/)
22:23:40	641/641	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/assets/js/ie10-viewport-bug-workaround.js	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/assets/js/ie10-viewport-bug-workaround.js	(from http://getbootstrap.com/)
22:23:41	46533/46533	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/assets/js/docs.min.js	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/assets/js/docs.min.js	(from http://getbootstrap.com/)
22:23:41	3854/3854	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2008%20Dec%202015%2020:30:28%20GMT	http://secure.gaug.es/track.js	C:/My%20Web%20Sites/http___getbootstrap.com_/secure.gaug.es/track.js	(from http://getbootstrap.com/)
22:23:42	95992/95992	---MC-	200	added ('OK')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	C:/My%20Web%20Sites/http___getbootstrap.com_/ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	(from http://getbootstrap.com/)
22:23:44	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/dist/fonts/glyphicons-halflings-regular.eot	(from http://getbootstrap.com/dist/css/bootstrap.min.css)
22:23:44	18028/18028	---M--	200	added ('OK')	application/font-woff2	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/dist/fonts/glyphicons-halflings-regular.woff2	(from http://getbootstrap.com/dist/css/bootstrap.min.css)
22:23:46	108738/108738	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/dist/fonts/glyphicons-halflings-regular.svg	(from http://getbootstrap.com/dist/css/bootstrap.min.css)
22:23:46	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/dist/fonts/glyphicons-halflings-regulard41d.eot	(from http://getbootstrap.com/dist/css/bootstrap.min.css)
22:23:46	23424/23424	---MCZ	200	added ('OK')	application/font-woff	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/dist/fonts/glyphicons-halflings-regular.woff	(from http://getbootstrap.com/dist/css/bootstrap.min.css)
22:23:48	45404/45404	---MCZ	200	added ('OK')	application/x-font-ttf	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/dist/fonts/glyphicons-halflings-regular.ttf	(from http://getbootstrap.com/dist/css/bootstrap.min.css)
22:23:48	3227/3227	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/starter-template/	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/starter-template/index.html	(from http://getbootstrap.com/getting-started/)
